Job Title,Salary Estimate,Rating,Company Name,Location,Size,Sector,Revenue
Data Analyst,$93K-$151K (Glassdoor est.),3.5,"NxStage
3.5","Austin, TX",1001 to 5000 employees,Manufacturing,$500 million to $1 billion (USD)
Quantitative Researcher – PhD Hire,$93K-$151K (Glassdoor est.),3.6,"Susquehanna International Group
3.6","Bala Cynwyd, PA",1001 to 5000 employees,Finance,Unknown / Non-Applicable
Sr Data Analyst,$93K-$151K (Glassdoor est.),2.3,"United BioSource
2.3","Blue Bell, PA",1001 to 5000 employees,Biotech & Pharmaceuticals,$100 to $500 million (USD)
Junior Data Analyst,$93K-$151K (Glassdoor est.),2.7,"Assembly
2.7","Austin, TX",201 to 500 employees,Business Services,Unknown / Non-Applicable
Senior Data Scientist,$93K-$151K (Glassdoor est.),4.2,"CyberCoders
4.2","Newtown, PA",201 to 500 employees,Business Services,$100 to $500 million (USD)
Remote Senior Data Scientist (Healthcare / Claims Data),$93K-$151K (Glassdoor est.),4.2,"CyberCoders
4.2","Austin, TX",201 to 500 employees,Business Services,$100 to $500 million (USD)
Data Science Resident - Galvanize Data Science Immersive Grads Only,$93K-$151K (Glassdoor est.),3.9,"Galvanize
3.9","Austin, TX",201 to 500 employees,Education,Unknown / Non-Applicable
Sport and Data Scientist,$93K-$151K (Glassdoor est.),4.5,"HBSE
4.5","Camden, NJ",201 to 500 employees,"Arts, Entertainment & Recreation",Unknown / Non-Applicable
Data Engineer I,$93K-$151K (Glassdoor est.),3.1,"Integrated Resources
3.1","Philadelphia, PA",201 to 500 employees,Business Services,$25 to $50 million (USD)
Data Scientist,$93K-$151K (Glassdoor est.),3.4,"InterDigital Communications Corporation
3.4","Conshohocken, PA",201 to 500 employees,Manufacturing,$500 million to $1 billion (USD)
Data Science Architect,$93K-$151K (Glassdoor est.),4.3,"Onica, a Rackspace Company
4.3","Austin, TX",201 to 500 employees,Information Technology,Unknown / Non-Applicable
Sport and Data Scientist,$93K-$151K (Glassdoor est.),3.5,"Philadelphia 76ers
3.5","Gloucester City, NJ",201 to 500 employees,"Arts, Entertainment & Recreation",$1 to $5 million (USD)
Data Engineer,$93K-$151K (Glassdoor est.),3.8,"Sense Corp
3.8","Austin, TX",201 to 500 employees,Accounting & Legal,$10 to $25 million (USD)
Data Engineer I,$93K-$151K (Glassdoor est.),4.7,"Voca
4.7","Philadelphia, PA",201 to 500 employees,Business Services,Unknown / Non-Applicable
Data Scientist II,$93K-$151K (Glassdoor est.),2.9,"Black Knight Inc
2.9","Philadelphia, PA",5001 to 10000 employees,Information Technology,Less than $1 million (USD)
Data Scientist,$93K-$151K (Glassdoor est.),3.7,"CSL Behring
3.7","King of Prussia, PA",5001 to 10000 employees,Biotech & Pharmaceuticals,$2 to $5 billion (USD)
Artificial Intelligence Research Scientist,$93K-$151K (Glassdoor est.),3.3,"Cubic
3.3","Austin, TX",5001 to 10000 employees,Aerospace & Defense,$1 to $2 billion (USD)
Research Scientist Assistant I/II,$52K-$91K (Glassdoor est.),4.1,"University of Texas at San Antonio
4.1","San Antonio, TX",1001 to 5000 employees,Education,$500 million to $1 billion (USD)
Data Scientist,$93K-$151K (Glassdoor est.),3.1,"MarkMonitor
3.1","Philadelphia, PA",501 to 1000 employees,Information Technology,$100 to $500 million (USD)
Dell Data Scientist/AI developer,$93K-$151K (Glassdoor est.),4.1,"APN Software Services Inc.
4.1","Austin, TX",51 to 200 employees,Information Technology,$25 to $50 million (USD)
Data Scientist - Data Intelligence Engineer,$93K-$151K (Glassdoor est.),4.1,"APN Software Services Inc.
4.1","Round Rock, TX",51 to 200 employees,Information Technology,$25 to $50 million (USD)
Data Science Internship,$93K-$151K (Glassdoor est.),3.8,"Avanceon Lp
3.8","Exton, PA",51 to 200 employees,Business Services,$10 to $25 million (USD)
